station_name,coords,latitude,longitude,names,admin1,admin2,country
"JESSORE, BG","(23.1838, 89.160833)",23.16971,89.21371,Jessore,Khulna,,BD
"NORSEMAN AERO, AS","(-32.2166666, 121.75)",-30.86667,121.76667,Stoneville,Western Australia,Kalgoorlie/Boulder,AU
"FORT SCOTT MUNICIPAL, KS US","(37.798431, -94.769381)",37.83976,-94.7083,Fort Scott,Kansas,Bourbon County,US
"LOCHINGTON, AS","(-23.9333333, 147.5166666)",-23.52296,148.15784,Emerald,Queensland,Central Highlands,AU
"DZARDZAN, RS","(68.7333333, 124.0)",66.76601,123.37418,Zhigansk,Sakha,,RU
"ILOMANTSI MEKRIJARVI, FI","(62.7666666, 30.9833333)",62.67162,30.93276,Ilomantsi,North Karelia,Joensuu,FI
"LEBA, PL","(54.75, 17.5333333)",54.76099,17.55547,Leba,Pomeranian Voivodeship,Powiat leborski,PL
"LE HAVRE OCTEVILLE, FR","(49.5333333, 0.0833333)",49.5089,0.08446,Sainte-Adresse,Haute-Normandie,Departement de la Seine-Maritime,FR
"BEIJING CAPITAL INTERNATIONAL AIRPORT, CH","(40.080111, 116.584556)",40.05756,116.57455,Tianzhu,Beijing,,CN
"HARROW CDA AUTO, CA","(42.0333333, -82.9)",42.11679,-83.04985,Amherstburg,Ontario,,CA
"GREENSBORO GREENE CO REGIONAL AIRPORT, GA US","(33.59778, -83.13889)",33.57568,-83.18238,Greensboro,Georgia,Greene County,US
"SAN CARLOS DE BARILOCHE, AR","(-41.151172, -71.157542)",-41.14557,-71.30822,San Carlos de Bariloche,Rio Negro,Departamento de Bariloche,AR
"BOUAR, CT","(5.9666667, 15.6333333)",5.93404,15.59599,Bouar,Nana-Mambere,,CF
"PHONHONG, LA","(18.4666666, 102.4)",18.49565,102.41421,Muang Phon-Hong,Vientiane,,LA
"LUKOJANOV, RS","(55.0333333, 44.5)",55.02772,44.47865,Lukoyanov,Nizjnij Novgorod,,RU
"PARC DES LAURENTIDES QUE, CA","(47.55, -71.2166666)",47.04428,-70.89529,Beaupre,Quebec,Capitale-Nationale,CA
"DODGE CENTER AIRPORT, MN US","(44.01778, -92.83139)",44.02802,-92.85464,Dodge Center,Minnesota,Dodge County,US
"EDGEOYA, NO","(78.25, 22.8166666)",78.22334,15.64689,Longyearbyen,Svalbard,Spitsbergen,SJ
"WEITRA, AU","(48.7, 14.8833333)",48.7,14.88333,Weitra,Lower Austria,Politischer Bezirk Gmund,AT
"GEORGETOWN AIRPORT, AS","(-18.3, 143.5333333)",-17.60758,145.48091,Ravenshoe,Queensland,Tablelands,AU
"KOKSHETAY, KZ","(53.2833333, 69.3833333)",53.28245,69.39692,Kokshetau,Aqmola,,KZ
"PASSOS, BR","(-20.75, -46.6333333)",-20.71889,-46.60972,Passos,Minas Gerais,Passos,BR
"MIKE HAXTUN, CO US","(40.7, -103.483333)",40.62554,-103.20771,Sterling,Colorado,Logan County,US
"OLD PORT TAMPA, FL US","(27.85, -82.55)",27.8685,-82.61612,Gandy,Florida,Pinellas County,US
"KASHAN, IR","(33.895333, 51.577044)",33.98308,51.43644,Kashan,Isfahan,,IR
"PORTO DE MOZ, BR","(-1.7333333, -52.2333333)",-1.74833,-52.23833,Porto de Moz,Para,Porto De Moz,BR
"BAILE HERCULANE, RO","(44.8833333, 22.4166666)",44.87972,22.4125,Baile Herculane,Caras-Severin,Oras Baile Herculane,RO
"PYONGGANG, KN","(38.4166666, 127.2833333)",38.20917,127.2175,Cheorwon,Gangwon-do,,KR
"AEDEY, IC","(66.1, -22.6666666)",66.07475,-23.13498,Isafjoerdur,Westfjords,,IS
"LANGEN ARLBERG, AU","(47.1166666, 10.1166666)",47.13333,10.08333,Klosterle,Vorarlberg,Politischer Bezirk Bludenz,AT
"HELSINKI KAISANIEMI, FI","(60.1833333, 24.95)",60.16952,24.93545,Helsinki,Uusimaa,Helsinki,FI
"ABILENE REGIONAL AIRPORT, TX US","(32.41063, -99.68208)",32.44874,-99.73314,Abilene,Texas,Taylor County,US
"DRAVAGEN, SW","(62.1, 13.6166666)",62.03407,14.36577,Sveg,Jaemtland,Harjedalens Kommun,SE
"OPOCHKA, RS","(56.7166666, 28.7166666)",56.71048,28.66174,Opochka,Pskov,,RU
"HERITAGE FIELD AIRPORT, PA US","(40.23803, -75.55485)",40.23093,-75.52212,Limerick,Pennsylvania,Montgomery County,US
"REMANSO, BR","(-9.6166666, -42.0833333)",-9.01528,-42.69944,Sao Raimundo Nonato,Piaui,Sao Raimundo Nonato,BR
"MADERA MUNICIPAL AIRPORT, CA US","(36.98505, -120.11068)",36.96134,-120.06072,Madera,California,Madera County,US
"DECATUR AIRPORT, IL US","(39.83079, -88.87192)",39.81198,-88.84757,Long Creek,Illinois,Macon County,US
"QUYQUYHAT, PA","(-26.2166666, -56.9833333)",-26.01667,-57.05,Ybycui,Paraguari,,PY
"OYEN AGDM ALTA, CA","(51.3833333, -110.35)",52.35014,-110.26828,Provost,Alberta,,CA
"CORTEZ MONTEZUMA CO AIRPORT, CO US","(37.30705, -108.62646)",37.34888,-108.58593,Cortez,Colorado,Montezuma County,US
"NAKHON PHANOM, TH","(17.383794, 104.643022)",17.41081,104.77856,Nakhon Phanom,Nakhon Phanom,,TH
"CROSBY MUNICIPAL AIRPORT, ND US","(48.929, -103.297)",48.9142,-103.29491,Crosby,North Dakota,Divide County,US
"EL DORADO GOODWIN FIELD, AR US","(33.22072, -92.81404)",33.20763,-92.66627,El Dorado,Arkansas,Union County,US
"SOLDOTNA AIRPORT, AK US","(60.47583, -151.03417)",60.48778,-151.05833,Soldotna,Alaska,Kenai Peninsula Borough,US
"GREAT FALL CLIMO, CA","(50.5222222, -95.9772222)",50.2536,-96.06116,Lac du Bonnet,Manitoba,,CA
"HULIN, CH","(45.7666666, 132.9666666)",45.47885,133.42825,Lesozavodsk,Primorskiy,,RU
"CHERSKIJ, RS","(68.75, 161.2833333)",68.75325,161.33197,Cherskiy,Sakha,,RU
"CLERMONT CO AIRPORT, OH US","(39.07838, -84.21022)",39.07701,-84.17688,Batavia,Ohio,Clermont County,US
"OCEANSIDE MUNICIPAL AIRPORT, CA US","(33.21946, -117.34962)",33.22844,-117.37929,Camp Pendleton South,California,San Diego County,US
"PASNI, PK","(25.290161, 63.344425)",25.26311,63.47103,Pasni,Balochistan,,PK
"LA JUNTA MUNICIPAL AIRPORT, CO US","(38.04948, -103.51335)",37.98501,-103.54383,La Junta,Colorado,Otero County,US
"MOUNT CARMEL MUNICIPAL AIRPORT, IL US","(38.60667, -87.72667)",38.70588,-87.76003,Bridgeport,Illinois,Lawrence County,US
"SINUIJU, KN","(40.1, 124.3833333)",40.10056,124.39806,Sinuiju,P'yongan-bukto,,KP
"KHERSON, UP","(46.6333333, 32.5666666)",46.65581,32.6178,Kherson,Kherson,,UA
"UST UMAL TA, RS","(51.6333333, 133.2666666)",51.12853,133.00827,Chegdomyn,Khabarovsk Krai,,RU
"MOUNT BOYCE, AS","(-33.6166666, 150.2666666)",-33.63567,150.28318,Blackheath,New South Wales,Blue Mountains Municipality,AU
"MUNDARE AGDM ALTA, CA","(53.5666666, -112.3)",53.50015,-112.05182,Vegreville,Alberta,,CA
"CAPE SAGRO, FR","(42.8, 9.4833333)",42.76667,9.45,Brando,Corsica,Departement de la Haute-Corse,FR
"NYUKSENITSA, RS","(60.4166666, 44.2166666)",60.41159,44.23309,Nyuksenitsa,Vologda,,RU
"SOUTH JERSEY REGIONAL AIRPORT, NJ US","(39.94076, -74.84075)",39.934,-74.891,Mount Laurel,New Jersey,Burlington County,US
"NOVYJ PORT, RS","(67.6833333, 72.8833333)",68.45972,73.59028,Mys-Kamennyy,Yamalo-Nenetskiy Avtonomnyy Okrug,,RU
"ODATE NOSHIRO, JA","(40.191872, 140.371431)",40.22268,140.36611,Takanosu,Akita,,JP
"TARKO SALE, RS","(64.9166666, 77.8166666)",64.91611,77.77457,Tarko-Sale,Yamalo-Nenetskiy Avtonomnyy Okrug,,RU
"CHAWANG, TH","(8.4333333, 99.5166666)",8.42614,99.50472,Chawang,Nakhon Si Thammarat,,TH
"GRANTS MILAN MUNICIPAL AIRPORT, NM US","(35.16528, -107.90222)",35.16976,-107.89089,Milan,New Mexico,Cibola County,US
"URGENCH, UZ","(41.584272, 60.641708)",41.55,60.63333,Urganch,Xorazm,,UZ
"ALAMEDA, CA US","(37.772, -122.298)",37.80437,-122.2708,Oakland,California,Alameda County,US
"OAKDALE ALLEN PARISH AIRPORT, LA US","(30.75028, -92.68833)",30.81603,-92.66042,Oakdale,Louisiana,Allen Parish,US
"KELIBIA, TS","(36.85, 11.0833333)",36.84757,11.09386,Qulaybiyah,Nabul,,TN
"NAOMAOHU, CH","(43.6, 95.1333333)",43.24918,94.6943,Yiwu,Xinjiang Uygur Zizhiqu,,CN
"SULTAN MAHMUD BADARUDDIN II, ID","(-2.897922, 104.701378)",-2.8817,104.6939,Talangbetutu,South Sumatra,,ID
"THOMAS POINT MD, US","(38.9, -76.44)",38.94011,-76.49496,Hillsmere Shores,Maryland,Anne Arundel County,US
"LEITE LOPES, BR","(-21.134167, -47.774189)",-21.1775,-47.81028,Ribeirao Preto,Sao Paulo,Ribeirao Preto,BR
"URUCUI, BR","(-7.4666666, -44.35)",-7.22944,-44.55611,Urucui,Piaui,Urucui,BR
"COMBIENBAR, AS","(-37.3333333, 149.0166666)",-36.91212,149.23669,Bombala,New South Wales,Bombala,AU
"HEKKINGEN FYR, NO","(69.6, 17.8333333)",69.22959,17.98114,Finnsnes,Troms,Lenvik,NO
"NAVOI, UZ","(40.1333333, 65.35)",40.13782,65.37545,Karmana Shahri,Navoiy,,UZ
"NUKHEB, IZ","(32.0333333, 42.2833333)",32.56687,43.48815,`Ayn Tamr,Muhafazat Karbala',,IQ
"LA HAGUE, FR","(49.7166666, -1.9333333)",49.66387,-1.83822,Beaumont-Hague,Lower Normandy,Departement de la Manche,FR
"HATGAL, MG","(50.4333333, 100.15)",50.12139,100.04306,Manhan,Hovsgol,,MN
"WAROOKA, AS","(-34.9833333, 137.4)",-35.11667,137.65,Honiton,South Australia,Yorke Peninsula,AU
"OGOJA, NI","(6.6666666, 8.8)",6.6584,8.79923,Ogoja,Cross River,,NG
"LUXI, CH","(24.5333333, 103.7666666)",24.51667,103.76667,Zhongshu,Yunnan,,CN
"BARISAL, BG","(22.75, 90.3666666)",22.70497,90.37013,Barisal,Barisal,,BD
"NANCHENG, CH","(27.5833333, 116.65)",27.55831,116.63978,Jianchang,Jiangxi Sheng,,CN
"LUDERITZ DIAZ POINT, WA","(-26.6833333, 15.25)",-26.64806,15.15944,Luderitz,Karas,,NA
"BENITO JUAREZ, AR","(-37.7166666, -59.7833333)",-37.67188,-59.80653,Benito Juarez,Buenos Aires,,AR
"SALEM AIRPORT MCNARY FIELD, OR US","(44.90488, -123.00103)",44.9279,-122.98371,Four Corners,Oregon,Marion County,US
"PUERTO BARRIOS, GT","(15.730878, -88.583767)",15.72778,-88.59444,Puerto Barrios,Izabal,Municipio de Puerto Barrios,GT
"BANDAR E DAYYER, IR","(27.8333333, 51.9333333)",27.8399,51.9378,Deyr,Bushehr,,IR
"DABO, ID","(-0.479189, 104.579283)",-0.4935,104.56216,Dabo,Riau Islands,,ID
"POYSDORF, AU","(48.6666666, 16.6333333)",48.66667,16.63333,Poysdorf,Lower Austria,Politischer Bezirk Mistelbach,AT
"ENRIQUE MALEK INTERNATIONAL, PM","(8.391003, -82.434992)",8.36667,-82.43333,Pedregal,Chiriqui,,PA
"SURABAYA GEDANGAN, ID","(-7.2166667, 113.7166667)",-7.217,113.7718,Sukarame,East Java,,ID
"PORT ALSWORTH 1 SW, AK US","(60.1951, -154.3196)",59.77667,-151.83139,Anchor Point,Alaska,Kenai Peninsula Borough,US
"BELYJ, RS","(55.85, 32.95)",55.8402,32.9419,Belyy,Tverskaya,,RU
"POUGHKEEPSIE AIRPORT, NY US","(41.62574, -73.88155)",41.6062,-73.87291,Myers Corner,New York,Dutchess County,US
"KATON KARAGAJ, KZ","(49.1833333, 85.6166667)",50.2696,85.6108,Ust'-Koksa,Altay,Ust'-Koksinskiy Rayon,RU
"SHONTS AGCM, CA","(53.3333333, -112.5333333)",53.36684,-112.66862,Tofield,Alberta,,CA
"AVALON AIRPORT, AS","(-38.0333333, 144.4666666)",-38.02388,144.40617,Lara,Victoria,Greater Geelong,AU
"LETHEM, GY","(3.3666666, -59.8)",3.38333,-59.8,Lethem,Upper Takutu-Upper Essequibo,,GY
"ROANOKE BLACKSBURG REGIONAL AIRPORT, VA US","(37.31719, -79.97369)",37.34125,-79.9431,Hollins,Virginia,Roanoke County,US
"MEERUT, IN","(29.0166666, 77.7166667)",28.97155,77.71934,Meerut,Uttar Pradesh,Meerut,IN
"UST OMCHUG, RS","(61.1166666, 149.6333333)",61.13336,149.63283,Ust'-Omchug,Magadan,,RU
"GIRONA, SP","(41.900969, 2.760547)",41.88333,2.75,Vilobi d'Onyar,Catalonia,Provincia de Girona,ES
"HUTSON FIELD AIRPORT, ND US","(48.405, -97.371)",48.41221,-97.41063,Grafton,North Dakota,Walsh County,US
"GENERAL JOSE MARIA YANEZ INTERNATIONAL, MX","(27.968983, -110.925169)",27.91928,-110.89755,Heroica Guaymas,Sonora,,MX
"VALLADOLID, SP","(41.6333333, -4.75)",41.65518,-4.72372,Valladolid,Castille and Leon,Provincia de Valladolid,ES
"POZEGA UZICKA, RI","(43.8333333, 20.0333333)",43.84889,20.03632,Pozega,Central Serbia,Zlatiborski Okrug,RS
"GREENVILLE MAC CRENSHAW MEMORIAL AIRPORT, AL US","(31.84675, -86.6141)",31.8296,-86.61775,Greenville,Alabama,Butler County,US
"GABRIEL DE CASTILLA, AY","(-62.9833333, -60.6833333)",-54.8,-68.3,Ushuaia,Tierra del Fuego,,AR
"KOYUK ALFRED ADAMS AIRPORT, AK US","(64.935, -161.155)",66.89846,-162.59809,Kotzebue,Alaska,Northwest Arctic Borough,US
"KUQA, CH","(41.7166666, 82.95)",41.72778,82.93639,Kuche,Xinjiang Uygur Zizhiqu,,CN
"ANGOCHE, MZ","(-16.2166666, 39.9)",-16.2325,39.90861,Antonio Enes,Nampula,,MZ
"ZAJSAN, KZ","(47.467, 84.917)",47.46657,84.87144,Zaysan,East Kazakhstan,,KZ
"GENERAL MARIANO MATAMOROS, MX","(18.835082, -99.262158)",18.82028,-99.26222,Unidad Habitacional Jose Maria Morelos y Pavon,Morelos,Xochitepec,MX
"ARNAGE, FR","(47.948611, 0.201667)",47.92616,0.18782,Arnage,Pays de la Loire,Departement de la Sarthe,FR
"HIGH PRAIRIE AGDM ALTA, CA","(55.3833333, -116.4666666)",55.4334,-116.4858,High Prairie,Alberta,,CA
"LES SAUVAGES, FR","(45.9333333, 4.3833333)",45.89761,4.43272,Tarare,Rhone-Alpes,Departement du Rhone,FR
"SIBI, PK","(29.55, 67.8833333)",29.5448,67.8764,Sibi,Balochistan,,PK
"KLOTEN, SW","(59.8666666, 15.25)",59.71667,15.13333,Stora,OErebro,Lindesbergs Kommun,SE
"MARISCAL SUCRE, VE","(10.249978, -67.649419)",10.24694,-67.59583,Maracay,Aragua,Municipio Girardot,VE
"ZAMBEZI, ZA","(-13.5333333, 23.1166667)",-13.54323,23.10467,Zambezi,North-Western,,ZM
"PINGELLY, AS","(-32.5333333, 117.0833333)",-32.93282,117.17763,Narrogin,Western Australia,Narrogin,AU
"MANDLA, IN","(22.5833333, 80.3666666)",22.59974,80.37108,Mandla,Madhya Pradesh,Mandla,IN
"BANGOKA INTERNATIONAL, CG","(0.481639, 25.337973)",0.51528,25.19099,Kisangani,Eastern Province,,CD
"CHILLICOTHE AGRI SCIENCE CENTER, MO US","(39.819848, -93.576951)",39.79529,-93.55244,Chillicothe,Missouri,Livingston County,US
"HOPKINSVILLE CHRISTIAN CO, KY US","(36.856972, -87.455067)",36.86561,-87.49117,Hopkinsville,Kentucky,Christian County,US
"NORMAN MANLEY INTERNATIONAL, JM","(17.935667, -76.7875)",17.93712,-76.84081,Port Royal,Kingston,,JM
"ST MARY HOSPITAL HELIPORT, MN US","(44.0166666, -92.4833333)",44.02163,-92.4699,Rochester,Minnesota,Olmsted County,US
"RAE LAKES, CA","(64.1166667, -117.3666667)",62.456,-114.35255,Yellowknife,Northwest Territories,,CA
"BLAIRSVILLE AIRPORT, GA US","(34.85, -83.9833333)",34.8762,-83.95824,Blairsville,Georgia,Union County,US
"CURITIBA, BR","(-25.4486111, -49.23)",-25.44472,-49.1925,Pinhais,Parana,Pinhais,BR
"BAGE, BR","(-31.3333333, -54.1)",-31.33139,-54.10694,Bage,Rio Grande do Sul,Bage,BR
"FIANARANTSOA, MA","(-21.441558, 47.111736)",-21.45267,47.08569,Fianarantsoa,Upper Matsiatra,,MG
"ARUA, UG","(3.05, 30.9166667)",3.02013,30.91105,Arua,Northern Region,Arua District,UG
"WAJIR, KE","(1.733239, 40.091606)",1.7471,40.05732,Wajir,Wajir,,KE
"DAVOS, SZ","(46.8166666, 9.85)",46.80429,9.83723,Davos,Grisons,Praettigau/Davos District,CH
"BENDIGO AIRPORT AWS, AS","(-36.7333333, 144.3166666)",-36.72875,144.30525,White Hills,Victoria,Greater Bendigo,AU
"NAHAN, IN","(30.4, 76.7666666)",30.36285,76.79516,Ambala,Haryana,Ambala,IN
"IBIMIRIM, BR","(-8.5166666, -37.7166666)",-8.54056,-37.69028,Ibimirim,Pernambuco,Ibimirim,BR
"INGHAM COMPOSITE, AS","(-18.65, 146.1833333)",-18.64552,146.16248,Ingham,Queensland,Hinchinbrook,AU
"SITKA, AK US","(57.052, -135.342)",57.05315,-135.33088,Sitka,Alaska,Sitka City and Borough,US
"BARLAD, RO","(46.2333333, 27.65)",46.23333,27.66667,Barlad,Vaslui,Municipiul Barlad,RO
"ZAPORIZHZHIA INTERNATIONAL, UP","(47.867003, 35.315692)",47.82289,35.19031,Zaporizhzhya,Zaporizhia,,UA
"GREAT FALLS AIRPORT, MT US","(47.47327, -111.38281)",47.50024,-111.30081,Great Falls,Montana,Cascade County,US
"TROMSO HOLT, NO","(69.65, 18.9)",69.6489,18.95508,Tromso,Troms,Tromso,NO
"WOODWARD FIELD AIRPORT, SC US","(34.283, -80.567)",34.24654,-80.60702,Camden,South Carolina,Kershaw County,US
"ALTON ST LOUIS REGIONAL AIRPORT, IL US","(38.88333, -90.05)",38.90921,-90.04066,Bethalto,Illinois,Madison County,US
"BEHALA, IN","(22.50483, 88.29348)",22.52038,88.26973,Santoshpur,West Bengal,South 24 Paraganas,IN
"ULKEN NARYN, KZ","(49.2, 84.5166666)",49.72654,84.27318,Zyryanovsk,East Kazakhstan,,KZ
"FAURESMITH, SF","(-29.7536111, 25.3230556)",-29.40661,25.00309,Koffiefontein,Orange Free State,Xhariep District Municipality,ZA
"SETE QUEDAS, BR","(-23.9669444, -55.0241667)",-24.03333,-54.83333,Corpus Christi,Canindeyu,,PY
"P C PELSER, SF","(-26.871064, 26.718003)",-26.85213,26.66672,Klerksdorp,North-West,Dr Kenneth Kaunda District Municipality,ZA
"TEPEHUANES DGO., MX","(25.35, -105.75)",25.33961,-105.72445,Santa Catarina de Tepehuanes,Durango,,MX
"WOLFSEGG, AU","(48.1, 13.6666666)",48.10669,13.67274,Wolfsegg am Hausruck,Upper Austria,Politischer Bezirk Vocklabruck,AT
"SALYM, RS","(60.0666666, 71.4833333)",60.0625,71.47889,Salym,Khanty-Mansiyskiy Avtonomnyy Okrug,,RU
"MORON AB, SP","(37.174917, -5.615944)",37.07955,-5.6341,El Coronil,Andalusia,Provincia de Sevilla,ES
"SOHAG INTERNATIONAL AIRPORT, EG","(26.3333333, 31.7333333)",26.33826,31.89161,Jirja,Suhaj,,EG
"TAI MEI TUK, CH","(22.4833333, 114.2333333)",22.55463,114.22589,Shatoujiao,Guangdong,,CN
"LATINA, IT","(41.542436, 12.909019)",41.53157,12.94567,Latina Scalo,Latium,Provincia di Latina,IT
"SVETLOGORSK, RS","(66.9333333, 88.3666666)",66.93762,88.35265,Svetlogorsk,Krasnoyarskiy,,RU
"AZURE, CA","(50.5, -114.0)",50.58341,-113.86867,High River,Alberta,,CA
"VOLCIHA, RS","(52.0166666, 80.3666666)",52.01356,80.35715,Volchikha,Altai Krai,,RU
"MORGANTOWN MUNICIPAL AIRPORT, WV US","(39.64981, -79.92064)",39.62953,-79.9559,Morgantown,West Virginia,Monongalia County,US
"ICA, RS","(55.5833333, 155.5833333)",55.92738,158.70708,Esso,Kamtsjatka,,RU
"PASCAGOULA NOAA LAB, MS US","(30.35, -88.5666666)",30.36576,-88.55613,Pascagoula,Mississippi,Jackson County,US
"MEILAN, CH","(19.934856, 110.458961)",19.96917,110.42811,Lingshan,Hainan,,CN
"VANWYKSVLEI, SF","(-30.35, 21.8166666)",-30.96827,22.13303,Carnarvon,Northern Cape,Pixley ka Seme District Municipality,ZA
"UCHUR, RS","(58.7333333, 130.6166666)",60.90009,131.97882,Amga,Sakha,,RU
"BORNHOLM RONNE, DA","(55.063267, 14.759558)",55.10091,14.70664,Ronne,Capital Region,Bornholm Kommune,DK
"OSBORNE HEAD DND, CA","(44.6166666, -63.4166666)",44.67244,-63.47506,Cole Harbour,Nova Scotia,,CA
"CIBAO INTERNATIONAL, DR","(19.406092, -70.604689)",19.43333,-70.6,Licey al Medio,Santiago,,DO
"KROSNO, PL","(49.7, 21.7666666)",49.68866,21.77058,Krosno,Subcarpathian Voivodeship,Krosno,PL
"UKIIVIK FREDERIKSHAAB ISBLINK, GL","(62.5666666, -50.4166666)",61.99402,-49.66776,Paamiut,Sermersooq,,GL
"CANE PATCH, FL US","(25.4166666, -80.95)",25.44789,-80.47922,Florida City,Florida,Miami-Dade County,US
"VAVAU INTERNATIONAL, TN","(-18.585336, -173.961717)",-18.65,-173.98333,Neiafu,Vava`u,,TO
"BELLA COOLA, CA","(52.387501, -126.595833)",54.39976,-126.67008,Houston,British Columbia,,CA
"PILI, RP","(13.5833333, 123.2666666)",13.574,123.2641,San Agustin,Bicol,Province of Camarines Sur,PH
"MAGADI, KE","(-1.883, 36.283)",-1.90122,36.287,Magadi,Kajiado,,KE
"TRINDADE ILHA, BR","(-20.5, -29.3166666)",-17.89194,-39.37194,Nova Vicosa,Bahia,Nova Vicosa,BR
"ATLANTA FULTON CO AIRPORT, GA US","(33.77759, -84.52464)",33.81872,-84.58243,Mableton,Georgia,Cobb County,US
"SODANKYLA VUOTSO, FI","(68.0833333, 27.1833333)",68.65986,27.53891,Ivalo,Lapland,Pohjois-Lappi,FI
"COIMBRA, PO","(40.2, -8.4166667)",40.20564,-8.41955,Coimbra,Coimbra,Coimbra,PT
"CASTEAU HELI MET, BE","(50.5, 3.98)",50.45413,3.95229,Mons,Wallonia,Province du Hainaut,BE
"GJOA HAVEN, CA","(68.635556, -95.849722)",68.62602,-95.87836,Gjoa Haven,Nunavut,,CA
"NY CITY CENTRAL PARK, NY US","(40.77898, -73.96925)",40.78343,-73.96625,Manhattan,New York,New York County,US
"SHARM EL SHEIKH INT, EG","(27.967, 34.383)",27.91582,34.32995,Sharm el-Sheikh,South Sinai,,EG
"SCOTTSDALE MUNICIPAL AIRPORT, AZ US","(33.61234, -111.92317)",33.53115,-111.94265,Paradise Valley,Arizona,Maricopa County,US
"PUCKAPUNYAL LYON HILL DEFENCE, AS","(-36.94, 145.05)",-37.46667,145.23333,Kinglake West,Victoria,Murrindindi,AU
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US","(41.25478, -80.67361)",41.25117,-80.74536,Howland Center,Ohio,Trumbull County,US
"KEY LAKE SK, CA","(57.25, -105.6)",55.10013,-105.28422,La Ronge,Saskatchewan,,CA
"VIRTSU, EN","(58.5666666, 23.5166666)",58.68139,23.84528,Lihula,Laeaene,Lihula vald,EE
"SIMARA, NP","(27.159456, 84.980122)",27.01043,84.87735,Birganj,Central Region,,NP
"SAO GONCALO, BR","(-6.75, -38.2166666)",-6.75917,-38.22806,Sousa,Paraiba,Sousa,BR
"DESIERTO DE ATACMA, CI","(-27.25, -70.77)",-27.36679,-70.3314,Copiapo,Atacama,Provincia de Copiapo,CL
"MONTAUK, NY US","(41.05, -71.97)",41.03594,-71.95451,Montauk,New York,Suffolk County,US
"PUERTO LEMPIRA, HO","(15.260778, -83.781472)",15.26667,-83.77222,Puerto Lempira,Gracias a Dios,,HN
"RUSH CITY REGIONAL AIRPORT, MN US","(45.69778, -92.95278)",45.68551,-92.96549,Rush City,Minnesota,Chisago County,US
"HENGCHUN, CH","(22.0, 120.75)",22.00417,120.74389,Hengchun,Taiwan,,TW
"YUGORENOK, RS","(59.7666666, 137.6666666)",60.30217,137.55563,Solnechnyy,Sakha,,RU
"THIEL MTNS AWS, AY","(-85.2, -87.8833333)",-54.8,-68.3,Ushuaia,Tierra del Fuego,,AR
"SPRINGBOK, SF","(-29.689333, 17.939611)",-29.66434,17.8865,Springbok,Northern Cape,Namakwa District Municipality,ZA
"RIVERSDALE, SF","(-34.0833333, 21.25)",-34.09345,21.25725,Riversdale,Western Cape,Eden District Municipality,ZA
"PUERTO WILLIAMS, CI","(-54.9333333, -67.6166666)",-54.8,-68.3,Ushuaia,Tierra del Fuego,,AR
"YOUNG AIRPORT, AS","(-34.25, 148.25)",-34.3135,148.30107,Young,New South Wales,Young,AU
"GOIANIA, BR","(-16.6666666, -49.25)",-16.67861,-49.25389,Goiania,Goias,Goiania,BR
"WARMUN, AS","(-17.0166666, 128.2166666)",-18.22485,127.66647,Halls Creek,Western Australia,Halls Creek,AU
"CLARESHOLM, CA","(50.0, -113.6333333)",50.03332,-113.58524,Claresholm,Alberta,,CA
"FRANKFORT CAPITAL CITY AIRPORT, KY US","(38.18463, -84.90393)",38.20091,-84.87328,Frankfort,Kentucky,Franklin County,US
"PRENTISS ALBERTA ALTA, CA","(52.4333333, -113.6)",52.46681,-113.7353,Lacombe,Alberta,,CA
"BUKHARA, UZ","(39.775, 64.483333)",39.77472,64.42861,Bukhara,Bukhara,,UZ
"MATSUMOTO, JA","(36.166758, 137.922669)",36.23333,137.96667,Matsumoto,Nagano,,JP
"VERAVAL, IN","(20.9, 70.3666666)",20.9077,70.36786,Veraval,Gujarat,Junagadh,IN
"DATCA, TU","(36.7, 27.6666666)",36.73778,27.68417,Datca,Mugla,,TR
"KARAMAY, CH","(45.6166666, 84.85)",45.5771,84.99222,Jinlong,Heilongjiang Sheng,,CN
"CONWAY HORRY CO AIRPORT, SC US","(33.828, -79.122)",33.836,-79.04781,Conway,South Carolina,Horry County,US
"MINCHUKUR, UZ","(38.65, 66.9333333)",38.97664,66.68867,Yakkabog' Shahri,Qashqadaryo,,UZ
"ARGENTIA AUT, CA","(47.283, -53.9833333)",47.59989,-53.26478,Bay Roberts,Newfoundland and Labrador,,CA
"MAHALAPYE, BC","(-23.0833333, 26.8)",-23.10407,26.81421,Mahalapye,Central,,BW
"GUNNISON OIL PLATFORM, TX US","(27.3, -93.533)",29.30135,-94.7977,Galveston,Texas,Galveston County,US
"MONROE AIRPORT, NC US","(35.01467, -80.62414)",35.00709,-80.67451,Wesley Chapel,North Carolina,Union County,US
"JACKSONVILLE ALBERT ELLIS AIRPORT, NC US","(34.83333, -77.61667)",34.89933,-77.54663,Richlands,North Carolina,Onslow County,US
"UNIVERSITY WI ID 8926 LARSEN ICE SHELF, AY","(-67.0166666, -61.4666666)",-54.8,-68.3,Ushuaia,Tierra del Fuego,,AR
"FRANCIS SCOTT KEY BR, MD US","(39.22, -76.52)",39.25066,-76.52052,Dundalk,Maryland,Baltimore County,US
"KOREAN AF HQ, KS","(37.5, 126.9166666)",37.47722,126.86639,Kwangmyong,Gyeonggi-do,,KR
